Date,Hour,Route ID,Direction,Stop ID,Stop Sequence,Boardings,Alightings,Trips,Stop Name,Period
2025-01-06,2025-01-06 15:00:00,M66,E,403492,6,18,5,2,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-06,2025-01-06 15:00:00,M66,E,403494,7,4,14,4,E 65 ST/5 AV,Evening
2025-01-06,2025-01-06 15:00:00,M66,E,404994,8,0,8,2,MADISON AV/E 65 ST,Evening
2025-01-06,2025-01-06 15:00:00,M66,E,403495,9,5,21,3,MADISON AV/E 67 ST,Evening
2025-01-06,2025-01-06 15:00:00,M66,E,403497,10,23,13,3,E 68 ST/LEXINGTON AV,Evening
2025-01-06,2025-01-06 16:00:00,M66,E,403492,6,21,3,5,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-06,2025-01-06 16:00:00,M66,E,403494,7,3,7,2,E 65 ST/5 AV,Evening
2025-01-06,2025-01-06 16:00:00,M66,E,404994,8,3,14,5,MADISON AV/E 65 ST,Evening
2025-01-06,2025-01-06 16:00:00,M66,E,403495,9,4,13,5,MADISON AV/E 67 ST,Evening
2025-01-06,2025-01-06 16:00:00,M66,E,403497,10,19,36,6,E 68 ST/LEXINGTON AV,Evening
2025-01-06,2025-01-06 17:00:00,M66,E,403492,6,25,4,3,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-06,2025-01-06 17:00:00,M66,E,403494,7,7,11,4,E 65 ST/5 AV,Evening
2025-01-06,2025-01-06 17:00:00,M66,E,404994,8,5,9,2,MADISON AV/E 65 ST,Evening
2025-01-06,2025-01-06 17:00:00,M66,E,403495,9,9,4,4,MADISON AV/E 67 ST,Evening
2025-01-06,2025-01-06 17:00:00,M66,E,403497,10,9,42,5,E 68 ST/LEXINGTON AV,Evening
2025-01-06,2025-01-06 18:00:00,M66,E,403492,6,28,1,5,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-06,2025-01-06 18:00:00,M66,E,403494,7,6,2,2,E 65 ST/5 AV,Evening
2025-01-06,2025-01-06 18:00:00,M66,E,404994,8,5,12,3,MADISON AV/E 65 ST,Evening
2025-01-06,2025-01-06 18:00:00,M66,E,403495,9,1,3,2,MADISON AV/E 67 ST,Evening
2025-01-06,2025-01-06 18:00:00,M66,E,403497,10,17,35,4,E 68 ST/LEXINGTON AV,Evening
2025-01-06,2025-01-06 19:00:00,M66,E,403492,6,2,0,2,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-06,2025-01-06 19:00:00,M66,E,404994,8,3,3,2,MADISON AV/E 65 ST,Evening
2025-01-06,2025-01-06 19:00:00,M66,E,403495,9,1,3,3,MADISON AV/E 67 ST,Evening
2025-01-06,2025-01-06 19:00:00,M66,E,403497,10,6,10,3,E 68 ST/LEXINGTON AV,Evening
2025-01-07,2025-01-07 06:00:00,M66,E,403492,6,6,0,2,W 65 ST/CENTRAL PARK WEST,Morning
2025-01-07,2025-01-07 06:00:00,M66,E,403494,7,2,4,1,E 65 ST/5 AV,Morning
2025-01-07,2025-01-07 06:00:00,M66,E,404994,8,1,4,2,MADISON AV/E 65 ST,Morning
2025-01-07,2025-01-07 06:00:00,M66,E,403495,9,4,2,1,MADISON AV/E 67 ST,Morning
2025-01-07,2025-01-07 06:00:00,M66,E,403497,10,61,12,3,E 68 ST/LEXINGTON AV,Morning
2025-01-07,2025-01-07 07:00:00,M66,E,403492,6,26,0,7,W 65 ST/CENTRAL PARK WEST,Morning
2025-01-07,2025-01-07 07:00:00,M66,E,403494,7,7,28,8,E 65 ST/5 AV,Morning
2025-01-07,2025-01-07 07:00:00,M66,E,404994,8,7,23,6,MADISON AV/E 65 ST,Morning
2025-01-07,2025-01-07 07:00:00,M66,E,403495,9,76,48,7,MADISON AV/E 67 ST,Morning
2025-01-07,2025-01-07 07:00:00,M66,E,403497,10,50,21,5,E 68 ST/LEXINGTON AV,Morning
2025-01-07,2025-01-07 08:00:00,M66,E,403492,6,58,6,10,W 65 ST/CENTRAL PARK WEST,Morning
2025-01-07,2025-01-07 08:00:00,M66,E,403494,7,12,50,10,E 65 ST/5 AV,Morning
2025-01-07,2025-01-07 08:00:00,M66,E,404994,8,9,30,9,MADISON AV/E 65 ST,Morning
2025-01-07,2025-01-07 08:00:00,M66,E,403495,9,7,26,8,MADISON AV/E 67 ST,Morning
2025-01-07,2025-01-07 08:00:00,M66,E,403497,10,130,31,10,E 68 ST/LEXINGTON AV,Morning
2025-01-07,2025-01-07 09:00:00,M66,E,403492,6,31,2,5,W 65 ST/CENTRAL PARK WEST,Morning
2025-01-07,2025-01-07 09:00:00,M66,E,403494,7,4,18,5,E 65 ST/5 AV,Morning
2025-01-07,2025-01-07 09:00:00,M66,E,404994,8,5,22,6,MADISON AV/E 65 ST,Morning
2025-01-07,2025-01-07 09:00:00,M66,E,403495,9,4,12,6,MADISON AV/E 67 ST,Morning
2025-01-07,2025-01-07 09:00:00,M66,E,403497,10,77,34,6,E 68 ST/LEXINGTON AV,Morning
2025-01-07,2025-01-07 10:00:00,M66,E,403492,6,12,0,4,W 65 ST/CENTRAL PARK WEST,Morning
2025-01-07,2025-01-07 10:00:00,M66,E,403494,7,1,6,2,E 65 ST/5 AV,Morning
2025-01-07,2025-01-07 10:00:00,M66,E,404994,8,2,17,4,MADISON AV/E 65 ST,Morning
2025-01-07,2025-01-07 10:00:00,M66,E,403495,9,3,10,5,MADISON AV/E 67 ST,Morning
2025-01-07,2025-01-07 10:00:00,M66,E,403497,10,14,15,5,E 68 ST/LEXINGTON AV,Morning
2025-01-07,2025-01-07 15:00:00,M66,E,403492,6,28,9,5,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-07,2025-01-07 15:00:00,M66,E,403494,7,5,19,5,E 65 ST/5 AV,Evening
